sample_name,neighbours_count,vertex_betweenness,time_s
553:08-10-2020:0,37,0.0,0.003745555877685547
496:18-11-2020:0,8,0.0,0.0023076534271240234
50:05-02-2021:0,10,0.5,0.0023458003997802734
288:28-03-2021:0,12,0.0,0.0023610591888427734
398:13-02-2021:0,3,0.5,0.0022242069244384766
573:30-03-2021:0,1,0.5,0.0021169185638427734
565:07-07-2020:0,11,0.0,0.0023326873779296875
932:27-06-2021:1,11,0.0,0.0023651123046875
515:27-06-2020:0,41,0.0,0.005148172378540039
307:03-04-2020:0,16,0.0,0.0024542808532714844
258:13-11-2020:0,8,0.5,0.0023033618927001953
117:19-01-2021:0,1,0.5,0.0021746158599853516
177:15-02-2021:0,17,0.0,0.002601146697998047
560:22-02-2021:0,2,0.5,0.0021767616271972656
855:27-06-2021:1,12,0.0,0.002367258071899414
183:25-08-2020:0,1,0.5,0.002269268035888672
51:05-12-2020:0,8,0.5,0.0022003650665283203
174:28-04-2020:0,5,0.5,0.002216815948486328
318:04-02-2021:0,20,0.0,0.0026807785034179688
461:13-08-2020:0,48,0.0,0.005178213119506836
218:26-05-2021:0,13,0.0,0.0024046897888183594
377:06-08-2020:0,14,0.5,0.002437591552734375
8:18-11-2020:0,7,0.5,0.00225067138671875
592:30-07-2020:0,24,0.0,0.0028464794158935547
300:28-04-2021:0,13,0.0,0.0024483203887939453
857:10-03-2021:1,64,0.0,0.008836507797241211
989:15-04-2021:1,19,0.0,0.0026993751525878906
605:03-08-2020:0,4,0.5,0.0022063255310058594
410+998,177,0.8851152881043683,0.0910944938659668
685:10-11-2020:0,45,0.0,0.00512242317199707
137:14-09-2020:0,42,0.0,0.0043985843658447266
409:13-11-2020:0,17,0.0,0.0025396347045898438
429:16-06-2020:0,6,0.5,0.002240419387817383
684:04-09-2020:0,3,0.5,0.002160310745239258
778:15-12-2020:1,0,0.5,0.00215911865234375
536:08-11-2020:0,22,0.0,0.002803802490234375
539:29-06-2020:0,31,0.0,0.0032863616943359375
923:21-12-2020:1,30,0.0,0.0033249855041503906
626:23-03-2021:0,9,0.0,0.0022776126861572266
822:28-01-2021:1,19,0.0,0.0025632381439208984
178:04-07-2020:0,40,0.0,0.0041656494140625
915:10-04-2021:1,4,0.5,0.002216815948486328
264:28-01-2021:0,36,0.0,0.003811359405517578
453:28-06-2021:0,4,0.0,0.0021843910217285156
327:15-02-2021:0,3,0.5,0.0022034645080566406
24:31-10-2020:0,70,0.0,0.009520530700683594
371:06-06-2020:0,16,0.0,0.00251007080078125
533:07-06-2020:0,2,0.5,0.002192258834838867
148:25-02-2021:0,2,0.5,0.002199411392211914
690:13-02-2021:0,6,0.5,0.002221822738647461
623:23-05-2021:0,16,0.0,0.0024552345275878906
957:26-04-2021:1,1,0.5,0.0021774768829345703
123:04-09-2020:0,8,0.5,0.0022504329681396484
485:26-02-2021:0,11,0.0,0.002306699752807617
510:08-09-2020:0,24,0.0,0.002905130386352539
242:24-02-2021:0,20,0.0,0.002599477767944336
621:19-01-2021:0,16,0.0,0.0025115013122558594
706:08-05-2021:0,14,0.0,0.004378557205200195
866:18-01-2021:1,78,0.0,0.012407541275024414
125:06-03-2021:0,9,0.0,0.0024585723876953125
5:19-06-2021:0,10,0.0,0.002328157424926758
517:02-06-2020:0,50,0.0,0.005509376525878906
68:04-06-2020:0,8,0.0,0.0022428035736083984
681:22-04-2021:0,14,0.5,0.002439737319946289
180:05-11-2020:0,25,0.5,0.0029211044311523438
782:31-12-2020:1,78,0.0,0.01271677017211914
164:19-03-2021:0,9,0.0,0.0025043487548828125
787:09-02-2021:1,24,0.0,0.0029408931732177734
204:04-01-2021:0,25,0.0,0.0029401779174804688
326:22-03-2021:0,11,0.0,0.002450227737426758
807:22-04-2021:1,9,0.5,0.0023026466369628906
844:10-03-2021:1,10,0.0,0.002340078353881836
990:16-03-2021:1,65,0.0,0.009204864501953125
599:05-03-2020:0,6,0.5,0.002273082733154297
795:10-11-2020:1,85,0.0,0.014902591705322266
727:13-05-2021:0,3,0.5,0.0022623538970947266
788:22-06-2021:1,5,0.5,0.002232074737548828
974:03-04-2021:1,13,0.0,0.002373218536376953
47:18-05-2021:0,0,0.5,0.0021255016326904297
97:13-07-2020:0,29,0.0,0.003104686737060547
340:16-05-2021:0,14,0.5,0.0024099349975585938
588:24-02-2021:0,1,0.5,0.002140522003173828
657+284,158,0.7283148351533636,0.06836056709289551
120:10-12-2020:0,42,0.0,0.004763126373291016
224:01-07-2021:0,10,0.0,0.0023925304412841797
944:13-04-2021:1,19,0.0,0.0026781558990478516
676:03-05-2021:0,21,0.0,0.0027008056640625
407:04-01-2021:0,16,0.0,0.002454519271850586
926:26-06-2021:1,10,0.0,0.0022630691528320312
441:08-10-2020:0,8,0.0,0.0022268295288085938
630:08-07-2020:0,9,0.5,0.002270221710205078
355:20-06-2020:0,23,0.0,0.002769947052001953
464:28-06-2021:0,3,0.5,0.002133607864379883
713:09-01-2021:0,18,0.0,0.002602815628051758
780:26-01-2021:1,78,0.0,0.011755704879760742
209:15-09-2020:0,2,0.5,0.002242565155029297
61:07-02-2021:0,8,0.5,0.00234222412109375
143:16-09-2020:0,16,0.0,0.0024902820587158203
149:06-03-2020:0,7,0.5,0.0021834373474121094
70:01-10-2020:0,16,0.0,0.0025124549865722656
290:27-11-2020:0,8,0.5,0.002184152603149414
60:19-01-2021:0,36,0.0,0.003825664520263672
287:05-08-2020:0,31,0.0,0.003264188766479492
460:01-06-2020:0,41,0.0,0.004274845123291016
492:28-01-2021:0,7,0.5,0.002239227294921875
550:20-12-2020:0,21,0.0,0.0026526451110839844
764:31-01-2021:1,7,0.0,0.0022554397583007812
984:06-03-2021:1,17,0.0,0.0025212764739990234
696:26-12-2020:0,5,0.5,0.0021665096282958984
743:20-06-2021:0,25,0.0,0.0028955936431884766
921:28-01-2021:1,27,0.0,0.0030672550201416016
72:20-10-2020:0,90,0.0,0.01894402503967285
841:10-06-2021:1,1,0.5,0.0023241043090820312
281:16-04-2021:0,39,0.0,0.0041484832763671875
242+585,161,1.0,0.06517171859741211
879:27-04-2021:1,18,0.0,0.002981901168823242
76:05-01-2021:0,0,0.5,0.0021622180938720703
205:27-09-2020:0,9,0.5,0.002225637435913086
619:19-12-2020:0,49,0.0,0.005142688751220703
308:20-03-2021:0,20,0.5,0.002613544464111328
424:30-04-2021:0,1,0.5,0.0021712779998779297
609:01-05-2021:0,2,0.5,0.0021173954010009766
742:20-02-2021:0,25,0.0,0.003019571304321289
16:28-07-2020:0,21,0.0,0.0026831626892089844
317:28-01-2021:0,6,0.5,0.002188444137573242
396:13-04-2021:0,2,0.5,0.003653287887573242
232:04-12-2020:0,2,0.5,0.002119302749633789
254:14-07-2020:0,15,0.5,0.0024030208587646484
529:13-03-2020:0,8,0.5,0.0022428035736083984
668:07-06-2020:0,50,0.0,0.005354404449462891
811:07-03-2021:1,13,0.0,0.002379179000854492
246:19-09-2020:0,24,0.0,0.002791166305541992
88:21-06-2020:0,0,0.5,0.0021479129791259766
85:06-12-2020:0,4,0.0,0.002168416976928711
372:10-06-2020:0,6,0.5,0.0021979808807373047
717+703,152,0.791043277897204,0.06333112716674805
764+498,175,0.8780007702113215,0.08207321166992188
715+277,185,1.0,0.09800982475280762
438:12-08-2020:0,31,0.0,0.0038666725158691406
55:31-01-2021:0,13,0.5,0.0024650096893310547
289:01-06-2021:0,11,0.5,0.0026121139526367188
602:30-09-2020:0,8,0.0,0.0025441646575927734
948:04-06-2021:1,3,0.5,0.002278566360473633
570:27-12-2020:0,21,0.0,0.0027408599853515625
365:28-06-2020:0,31,0.0,0.003365039825439453
393:21-03-2021:0,7,0.0,0.00225830078125
433:05-11-2020:0,10,0.0,0.0024971961975097656
601:01-08-2020:0,3,0.5,0.0022428035736083984
511:06-07-2020:0,0,0.5,0.0021669864654541016
400:19-12-2020:0,2,0.5,0.0022230148315429688
666:01-11-2020:0,42,0.0,0.0043451786041259766
167:16-06-2021:0,3,0.5,0.0022902488708496094
777:12-03-2021:1,5,0.5,0.002267599105834961
361:13-02-2020:0,6,0.5,0.0022296905517578125
346:01-06-2021:0,29,0.0,0.0032265186309814453
436:17-09-2020:0,2,0.5,0.002229452133178711
635:29-09-2020:0,8,0.0,0.002393484115600586
779:28-06-2021:1,8,0.0,0.002418041229248047
658:12-04-2021:0,9,0.0,0.002299070358276367
382:21-12-2020:0,28,0.0,0.003163576126098633
381:28-05-2021:0,29,0.0,0.0032181739807128906
769:26-04-2021:1,4,0.5,0.002285480499267578
847:26-05-2021:1,10,0.0,0.002285003662109375
864:08-06-2021:1,11,0.0,0.0023910999298095703
406:05-11-2020:0,7,0.5,0.002226114273071289
527:20-04-2021:0,3,0.5,0.0022766590118408203
703:15-02-2021:0,27,0.0,0.0030350685119628906
555:26-08-2020:0,4,0.5,0.0021860599517822266
566:02-11-2020:0,18,0.0,0.0026068687438964844
607:20-08-2020:0,8,0.0,0.002340078353881836
971:14-04-2021:1,3,0.5,0.002219676971435547
513:14-10-2020:0,20,0.0,0.002702474594116211
